cactus,deploy_date,retrieve_date,lat,lon,x,y,z,top,middle,bottom,health,volume,quad_south,quad_west,experiment
1,5/15/2019,5/27/2019,34.78279,-115.66316,152.4,144.78,101.6,152.4,48.26,0,4,2241750.355,5,7,mimic
2,5/15/2019,5/27/2019,34.78258,-115.66256,55.88,43.18,114.3,55.88,83.82,0,5,275794.2871,0,4,mimic
3,5/15/2019,5/27/2019,34.78281,-115.66246,190.5,139.7,132.08,190.5,68.58,0,3,3515025.228,0,2,mimic
4,5/15/2019,5/27/2019,34.78286,-115.66265,20.32,15.24,114.3,20.32,43.18,0,5,35396.05824,2,2,mimic
5,5/15/2019,5/27/2019,34.78222,-115.66277,205.74,139.7,109.22,205.74,50.8,0,2,3139187.915,1,8,mimic
6,5/15/2019,5/27/2019,34.78279,-115.66316,177.8,172.72,162.56,177.8,99.06,0,2,4992155.177,6,1,mimic
7,5/15/2019,5/27/2019,34.78209,-115.66277,160.02,157.48,137.16,160.02,76.2,0,5,3456425.087,1,9,mimic
8,5/15/2019,5/27/2019,34.78265,-115.66277,129.54,121.92,127,129.54,76.2,0,4,2005776.634,3,4,mimic
9,5/15/2019,5/27/2019,34.78231,-115.66275,96.52,78.74,88.9,96.52,38.1,0,5,675638.6487,1,7,mimic
10,5/15/2019,5/27/2019,34.78277,-115.66275,342.9,279.4,198.12,342.9,129.54,0,3,18981136.23,3,3,mimic
11,5/28/2019,6/9/2019,34.78236,-115.66267,104.14,93.98,104.14,104.14,76.2,0,5,1019226.22,6,3,flower
12,5/28/2019,6/9/2019,34.78294,-115.66251,172.72,127,132.08,172.72,78.74,0,4,2897232.915,1,1,flower
13,5/28/2019,6/9/2019,34.783,-115.66337,157.48,119.38,149.86,157.48,91.44,0,3,2817362.365,1,10,flower
14,5/28/2019,6/9/2019,34.78274,-115.66251,119.38,114.3,139.7,119.38,83.82,0,5,1906225.22,3,0,flower
15,5/28/2019,6/9/2019,34.78214,-115.66278,147.32,147.32,127,147.32,91.44,0,4,2756304.165,10,2,flower
16,5/28/2019,6/9/2019,34.78253,-115.66254,223.52,175.26,190.5,223.52,116.84,0,2,7462668.946,5,0,flower
17,5/28/2019,6/9/2019,34.78287,-115.66242,129.54,116.84,114.3,129.54,58.42,0,5,1729982.346,1,0,flower
18,5/28/2019,6/9/2019,34.78233,-115.66357,91.44,78.74,121.92,91.44,66.04,0,5,877822.2444,9,9,flower
19,5/28/2019,6/9/2019,34.78231,-115.66341,132.08,129.54,119.38,132.08,71.12,0,5,2042549.205,8,7,flower
20,5/28/2019,6/9/2019,34.78236,-115.66275,111.76,58.42,93.98,111.76,50.8,0,5,613597.2244,7,3,flower
21,8/14/2019,8/28/2019,34.78213,-115.66355,180,150,110,180,60,0,4,2970000,1,4,fruit
22,8/14/2019,8/28/2019,34.78315,-115.66325,340,230,205,340,130,0,4,16031000,0,9,fruit
23,8/14/2019,8/28/2019,34.78305,-115.66257,75,60,110,75,65,0,5,495000,3,0,fruit
24,8/14/2019,8/28/2019,34.78221,-115.6631,180,135,140,180,70,0,3,3402000,8,6,fruit
25,8/14/2019,8/28/2019,34.78205,-115.66262,130,115,155,130,70,0,5,2317250,10,1,fruit
26,8/14/2019,8/28/2019,34.78263,-115.6627,65,60,90,65,40,0,5,351000,4,3,fruit
27,8/14/2019,8/28/2019,34.78294,-115.66275,60,30,70,60,48,0,5,126000,1,4,fruit
28,8/14/2019,8/28/2019,34.78221,-115.66367,195,150,120,195,55,0,5,3510000,9,9,fruit
29,8/14/2019,8/28/2019,34.7821,-115.6625,100,70,110,100,56,0,5,770000,8,0,fruit
30,8/14/2019,8/28/2019,34.78295,-115.66245,140,110,153,140,89,0,5,2356200,1,1,fruit
