rep,year,date,mdy,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple
323,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
324,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
325,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
326,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
327,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
328,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
329,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
330,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
331,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
332,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
333,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
334,2019,2019-05-03,5.3.8,spring,3,9,open,Troglodytidae,Rock Wren,resident,insectivore,movement
334,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
335,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
335,2019,2019-05-03,5.3.8,spring,3,9,open,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
336,2019,2019-08-24,8.24.17,summer,24,47,open,Odontiphoridae,Gambel's Quail,resident,herbivore,feeding
336,2019,2019-05-03,5.3.8,spring,3,9,open,Troglodytidae,Rock Wren,resident,insectivore,mating behaviors
