rep,year,date,mdy,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple
163,2019,2019-05-02,5.2.6,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
164,2019,2019-05-02,5.2.6,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
165,2019,2019-08-19,8.19.6,summer,19,36,shrub,Mimidae,Crissal Thrasher,resident,omnivore,perching
165,2019,2019-05-02,5.2.6,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
166,2019,2019-08-19,8.19.6,summer,19,36,shrub,Fringillidae,House Finch,resident,frugivore,perching
166,2019,2019-05-02,5.2.6,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
167,2019,2019-08-19,8.19.6,summer,19,36,shrub,Icteridae,Scott's Oriole,summer resident,omnivore,feeding
167,2019,2019-05-02,5.2.6,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
168,2019,2019-05-02,5.2.6,spring,2,4,shrub,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,movement
168,2019,2019-08-19,8.19.6,summer,19,36,shrub,Icteridae,Scott's Oriole,summer resident,omnivore,feeding
169,2019,2019-05-02,5.2.8,spring,2,5,shrub,Tyrannidae,Say's Phoebe,resident,insectivore,movement
169,2019,2019-08-19,8.19.6,summer,19,36,shrub,Icteridae,Scott's Oriole,summer resident,omnivore,feeding
170,2019,2019-05-02,5.2.8,spring,2,5,shrub,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,movement
171,2019,2019-05-02,5.2.8,spring,2,5,cactus,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,mating behaviors
172,2019,2019-05-02,5.2.8,spring,2,5,cactus,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,mating behaviors
172,2019,2019-08-19,8.19.18,summer,19,37,shrub,Remezidae,Verdin,resident,insectivore,mating behaviors
174,2019,2019-08-19,8.19.18,summer,19,37,open,Passerellidae,Black.throated Sparrow,resident,granivore,movement
177,2019,2019-05-02,5.2.8,spring,2,5,cactus,Tyrannidae,Say's Phoebe,resident,insectivore,mating behaviors
178,2019,2019-05-02,5.2.8,spring,2,5,cactus,Tyrannidae,Say's Phoebe,resident,insectivore,perching
178,2019,2019-08-19,8.19.18,summer,19,37,cactus,Troglodytidae,Cactus Wren,resident,omnivore,mating behaviors
179,2019,2019-05-02,5.2.8,spring,2,5,shrub,Tyrannidae,Say's Phoebe,resident,insectivore,mating behaviors
179,2019,2019-08-19,8.19.18,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
180,2019,2019-05-02,5.2.8,spring,2,5,shrub,Tyrannidae,Say's Phoebe,resident,insectivore,perching
180,2019,2019-08-19,8.19.18,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
181,2019,2019-05-02,5.2.8,spring,2,5,open,Troglodytidae,Rock Wren,resident,insectivore,perching
181,2019,2019-08-19,8.19.18,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
182,2019,2019-05-02,5.2.8,spring,2,5,open,Troglodytidae,Rock Wren,resident,insectivore,movement
182,2019,2019-08-19,8.19.18,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
183,2019,2019-05-02,5.2.8,spring,2,5,open,Mimidae,Northern Mockingbird,resident,omnivore,movement
183,2019,2019-08-19,8.19.18,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
184,2019,2019-05-02,5.2.8,spring,2,5,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
184,2019,2019-08-19,8.19.18,summer,19,37,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
186,2019,2019-05-02,5.2.8,spring,2,5,open,Columbidae,Mourning Dove,resident,granivore,mating behaviors
189,2019,2019-08-20,8.20.7,summer,20,38,cactus,Remezidae,Verdin,resident,insectivore,movement
190,2019,2019-05-02,5.2.8,spring,2,5,open,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,mating behaviors
192,2019,2019-05-02,5.2.8,spring,2,5,shrub,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,movement
192,2019,2019-08-20,8.20.7,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
193,2019,2019-08-20,8.20.7,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
193,2019,2019-05-02,5.2.8,spring,2,5,shrub,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
194,2019,2019-08-20,8.20.7,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
195,2019,2019-05-02,5.2.8,spring,2,5,shrub,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,perching
195,2019,2019-08-20,8.20.7,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
196,2019,2019-05-02,5.2.8,spring,2,5,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
196,2019,2019-08-20,8.20.7,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,feeding
197,2019,2019-08-20,8.20.7,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,feeding
198,2019,2019-05-02,5.2.8,spring,2,5,open,Troglodytidae,Rock Wren,resident,insectivore,movement
199,2019,2019-08-20,8.20.7,summer,20,38,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
200,2019,2019-05-02,5.2.8,spring,2,5,open,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
200,2019,2019-08-20,8.20.7,summer,20,38,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
201,2019,2019-05-02,5.2.8,spring,2,5,open,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
201,2019,2019-08-20,8.20.7,summer,20,38,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
203,2019,2019-05-02,5.2.8,spring,2,5,cactus,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,feeding
205,2019,2019-05-02,5.2.10,spring,2,6,open,Passerellidae,Black.throated Sparrow,resident,granivore,movement
206,2019,2019-08-20,8.20.17,summer,20,39,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
210,2019,2019-05-02,5.2.10,spring,2,6,open,Passerellidae,Black.throated Sparrow,resident,granivore,movement
211,2019,2019-05-02,5.2.10,spring,2,6,cactus,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,movement
211,2019,2019-08-21,8.21.6,summer,21,40,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
212,2019,2019-05-02,5.2.10,spring,2,6,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,mating behaviors
213,2019,2019-05-02,5.2.10,spring,2,6,cactus,Mimidae,Northern Mockingbird,resident,omnivore,movement
214,2019,2019-05-02,5.2.10,spring,2,6,cactus,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
214,2019,2019-08-21,8.21.6,summer,21,40,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
215,2019,2019-05-02,5.2.10,spring,2,6,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
216,2019,2019-08-21,8.21.6,summer,21,40,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,movement
216,2019,2019-05-02,5.2.10,spring,2,6,shrub,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,perching
217,2019,2019-08-21,8.21.6,summer,21,40,shrub,Picidae,Nuttall's/Ladderback Woodpecker Hybrid,resident,frugivore,movement
219,2019,2019-05-02,5.2.10,spring,2,6,shrub,Passerellidae,Green.tailed Towhee,migrant,omnivore,perching
220,2019,2019-05-02,5.2.10,spring,2,6,shrub,Passerellidae,Green.tailed Towhee,migrant,omnivore,perching
221,2019,2019-08-21,8.21.6,summer,21,40,cactus,Remezidae,Verdin,resident,insectivore,mating behaviors
222,2019,2019-05-02,5.2.10,spring,2,6,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
222,2019,2019-08-21,8.21.6,summer,21,40,cactus,Remezidae,Verdin,resident,insectivore,mating behaviors
223,2019,2019-05-02,5.2.10,spring,2,6,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
223,2019,2019-08-21,8.21.6,summer,21,40,cactus,Remezidae,Verdin,resident,insectivore,mating behaviors
224,2019,2019-08-21,8.21.6,summer,21,40,open,Icteridae,Scott's Oriole,summer resident,omnivore,movement
224,2019,2019-05-02,5.2.10,spring,2,6,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
225,2019,2019-08-21,8.21.17,summer,21,41,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
225,2019,2019-05-02,5.2.10,spring,2,6,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
226,2019,2019-08-21,8.21.17,summer,21,41,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,movement
226,2019,2019-05-02,5.2.10,spring,2,6,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
227,2019,2019-08-21,8.21.17,summer,21,41,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,movement
230,2019,2019-08-21,8.21.17,summer,21,41,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
231,2019,2019-08-21,8.21.17,summer,21,41,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
231,2019,2019-05-02,5.2.10,spring,2,6,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
232,2019,2019-08-21,8.21.17,summer,21,41,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
232,2019,2019-05-02,5.2.10,spring,2,6,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
233,2019,2019-08-21,8.21.17,summer,21,41,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
233,2019,2019-05-02,5.2.10,spring,2,6,cactus,Columbidae,Mourning Dove,resident,granivore,mating behaviors
234,2019,2019-08-21,8.21.17,summer,21,41,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
235,2019,2019-05-02,5.2.10,spring,2,6,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
236,2019,2019-05-02,5.2.10,spring,2,6,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
237,2019,2019-08-22,8.22.6,summer,22,42,open,Passerellidae,Black.throated Sparrow,resident,granivore,perching
