cactus.id,tag,fruit.id,fruit.weight,fruit.x,fruit.y,fruit.z,color,dessication,seeds
,356,313,5.12,20,20,25,grey,dessicated,
,373,158,5.11,15,15,25,yellow green,not dessicated,
,400,86,5.08,20,20,20,grey,dessicated,
,316,626,5.08,20,20,20,black,dessicated,
,387,67,5.05,20,20,25,grey,dessicated,
,369,272,5.03,20,20,30,yellow brown,not dessicated,
,393,77,5.02,20,20,30,yellow green,not dessicated,
,390,92,5.02,20,20,20,grey,dessicated,
,355,400,5,20,20,25,grey,dessicated,
,397,45,4.97,20,20,25,yellow,not dessicated,
,318,540,4.97,20,20,25,grey,dessicated,
,388,1,4.95,20,20,20,grey,dessicated,
,378,132,4.95,20,20,20,brown,not dessicated,
,322,478,4.89,20,15,20,brown,not dessicated,
,326,498,4.87,20,20,25,grey,dessicated,
,364,226,4.85,25,20,30,grey,dessicated,
,337,501,4.84,20,20,25,grey,dessicated,
,379,125,4.83,20,20,25,brown,not dessicated,
,390,99,4.81,20,20,25,grey,dessicated,
,324,460,4.81,20,20,35,grey,dessicated,
,326,493,4.81,25,20,25,grey,dessicated,
,387,63,4.8,20,20,25,grey,dessicated,
,399,110,4.79,20,15,30,yellow green,not dessicated,
,363,220,4.76,20,20,30,yellow green,not dessicated,
,364,227,4.76,25,20,30,grey,dessicated,
,387,68,4.75,20,20,25,grey,dessicated,
,400,90,4.75,20,20,25,grey,dessicated,
,317,605,4.72,20,20,20,grey,dessicated,
,394,53,4.71,20,20,20,yellow brown,not dessicated,
,326,490,4.71,20,20,20,grey,dessicated,
,379,124,4.7,20,20,20,brown,not dessicated,
,334,547,4.7,25,25,20,grey,dessicated,
,370,179,4.69,20,20,25,grey,dessicated,
,309,564,4.69,20,20,20,grey,dessicated,
,338,340,4.67,20,20,30,grey,dessicated,
,322,471,4.66,20,20,25,brown,not dessicated,
,397,48,4.65,20,20,25,yellow,not dessicated,
,346,326,4.62,20,20,25,grey,dessicated,
,390,95,4.61,20,20,25,grey,dessicated,
,311,583,4.6,20,20,15,grey,dessicated,
,376,204,4.57,20,20,20,grey,dessicated,
,311,581,4.57,20,20,20,grey,dessicated,
,322,470,4.54,20,20,20,brown,not dessicated,
,364,234,4.53,20,20,25,grey,dessicated,
,309,563,4.53,20,20,20,grey,dessicated,
,380,113,4.52,20,20,20,grey,dessicated,
,309,561,4.5,20,20,20,grey,dessicated,
,311,579,4.5,20,20,20,grey,dessicated,
,317,599,4.49,20,20,20,grey,dessicated,
,309,556,4.48,20,20,20,grey,dessicated,
,318,536,4.44,20,20,25,grey,dessicated,
,382,20,4.43,20,25,25,green,not dessicated,
,342,414,4.43,20,20,25,grey,dessicated,
,337,505,4.43,20,20,25,grey,dessicated,
,394,58,4.42,20,20,25,yellow brown,not dessicated,
,318,537,4.42,20,20,20,grey,dessicated,
,377,146,4.4,15,20,20,brown,not dessicated,
,373,155,4.4,20,20,30,yellow,not dessicated,
,333,481,4.39,20,20,25,black,dessicated,
,346,327,4.35,20,20,25,grey,dessicated,
,387,62,4.34,20,20,25,grey,dessicated,
,388,7,4.32,20,20,20,grey,dessicated,
,334,549,4.32,20,20,25,grey,dessicated,
,322,476,4.31,25,20,25,brown,not dessicated,
,382,19,4.3,20,20,25,grey,dessicated,
,308,569,4.3,20,15,20,grey,dessicated,
,311,584,4.3,15,15,15,grey,dessicated,
,404,633,4.3,20,20,20,grey,dessicated,
,369,270,4.29,20,20,20,yellow,not dessicated,
,399,105,4.28,20,15,20,yellow green,not dessicated,
,308,572,4.27,20,20,20,grey,dessicated,
,318,538,4.26,20,20,20,grey,dessicated,
,307,644,4.26,20,20,20,grey,dessicated,
,341,355,4.25,20,20,25,grey,dessicated,
,318,542,4.23,20,15,25,grey,dessicated,
,318,544,4.23,20,20,20,grey,dessicated,
,334,555,4.23,15,15,25,grey,dessicated,
,308,573,4.23,15,15,25,grey,dessicated,
,370,181,4.22,20,20,20,grey,dessicated,
,340,373,4.19,20,20,20,grey,dessicated,
,365,257,4.18,20,15,25,grey,dessicated,
,309,560,4.18,20,20,20,grey,dessicated,
,337,500,4.17,20,20,25,grey,dessicated,
,318,539,4.17,20,20,20,grey,dessicated,
,318,541,4.16,20,15,20,grey,dessicated,
,402,694,4.16,20,20,25,grey,dessicated,
,340,370,4.15,20,20,25,grey,dessicated,
,400,82,4.13,20,20,20,grey,dessicated,
,400,87,4.13,20,20,20,grey,dessicated,
,355,402,4.12,20,15,25,grey,dessicated,
,390,93,4.1,20,20,20,grey,dessicated,
,364,229,4.1,20,15,25,grey,dessicated,
,369,274,4.1,20,20,25,yellow,not dessicated,
,307,649,4.09,20,20,20,grey,dessicated,
,307,642,4.08,20,20,25,grey,dessicated,
,400,85,4.05,20,20,20,grey,dessicated,
,390,100,4.05,20,20,20,grey,dessicated,
,343,368,4.05,20,20,20,grey,dessicated,
,332,445,4.05,20,20,20,grey,dessicated,
,337,508,4.05,20,20,20,grey,dessicated,
,400,84,4.03,20,20,20,grey,dessicated,
,342,418,4.03,20,20,20,grey,dessicated,
,400,81,4.02,20,20,20,grey,dessicated,
,387,70,3.99,20,20,25,grey,dessicated,
,332,440,3.99,20,20,25,grey,dessicated,
,307,645,3.99,20,20,20,grey,dessicated,
,373,152,3.98,20,20,30,yellow,not dessicated,
,338,342,3.98,20,20,25,grey,dessicated,
,326,494,3.98,20,20,20,grey,dessicated,
,302,684,3.97,20,20,25,grey,dessicated,
,340,374,3.96,20,20,25,grey,dessicated,
,376,201,3.94,20,20,20,grey,dessicated,
,343,367,3.93,15,15,20,black,dessicated,
,308,566,3.93,20,20,20,grey,dessicated,
,363,218,3.92,20,20,20,grey,dessicated,
,355,403,3.91,20,15,30,grey,dessicated,
,326,492,3.91,20,20,20,grey,dessicated,
