cactus.id,tag,fruit.id,fruit.weight,fruit.x,fruit.y,fruit.z,color,dessication,seeds
,303,595,2.18,15,15,20,grey,dessicated,
,368,238,2.16,15,15,15,grey,dessicated,
,350,333,2.16,15,10,15,grey,dessicated,
,371,162,2.15,20,20,20,grey,dessicated,
,326,420,2.15,20,20,20,grey,dessicated,
,326,424,2.14,15,15,20,grey,dessicated,
,322,472,2.14,20,15,15,brown,not dessicated,
,323,436,2.11,20,20,20,grey,dessicated,
,302,687,2.11,15,15,25,grey,dessicated,
,313,673,2.1,15,15,15,grey,dessicated,
,304,663,2.08,15,15,20,grey,dessicated,
,344,385,2.07,20,15,30,grey,dessicated,
,326,428,2.07,20,20,20,grey,dessicated,
,335,529,2.07,15,15,15,grey,dessicated,
,323,439,2.06,15,15,20,grey,dessicated,
,305,702,2.05,15,15,15,grey,dessicated,
,379,127,2.04,20,15,20,brown,not dessicated,
,359,304,2.04,20,20,20,grey,dessicated,
,303,588,2.04,15,15,15,grey,dessicated,
,368,236,2.03,20,20,20,grey,dessicated,
,358,287,2.03,15,15,20,grey,dessicated,
,314,654,2.03,15,15,15,grey,dessicated,
,371,168,2.01,15,15,20,grey,dessicated,
,358,292,2.01,20,15,20,grey,dessicated,
,303,589,2.01,15,15,15,grey,dessicated,
,357,282,2,20,10,20,yellow green,not dessicated,
,368,240,1.99,20,15,15,grey,dessicated,
,350,336,1.97,15,15,10,grey,dessicated,
,302,689,1.97,15,15,25,grey,dessicated,
,335,533,1.95,15,15,15,grey,dessicated,
,357,279,1.94,15,10,20,green,not dessicated,
,368,243,1.93,15,15,15,grey,dessicated,
,357,281,1.93,20,10,20,yellow green,not dessicated,
,305,704,1.93,15,15,15,grey,dessicated,
,354,322,1.91,15,10,15,grey,dessicated,
,335,535,1.9,15,15,20,grey,dessicated,
,358,293,1.89,15,15,15,grey,dessicated,
,310,612,1.89,10,10,15,grey,dessicated,
,394,59,1.88,15,15,20,yellow green,not dessicated,
,313,674,1.86,15,15,15,grey,dessicated,
,394,56,1.84,15,15,25,yellow,not dessicated,
,368,245,1.84,15,10,15,grey,dessicated,
,371,165,1.83,15,15,20,grey,dessicated,
,344,389,1.83,20,15,20,grey,dessicated,cracked
,313,679,1.83,15,15,15,grey,dessicated,
,313,678,1.8,15,15,15,grey,dessicated,
,368,242,1.79,15,10,15,grey,dessicated,
,303,587,1.78,10,10,15,grey,dessicated,
,357,284,1.77,15,10,20,yellow green,not dessicated,
,326,425,1.77,15,15,15,grey,dessicated,
,367,246,1.76,15,15,10,grey,dessicated,
,351,329,1.75,20,20,20,grey,dessicated,cracked
,358,288,1.74,15,15,15,grey,dessicated,
,316,627,1.74,15,15,15,grey,dessicated,
,326,429,1.73,15,15,15,grey,dessicated,
,371,163,1.72,15,10,20,grey,dessicated,
,324,463,1.71,15,15,25,grey,dessicated,
,371,166,1.69,15,15,25,grey,dessicated,
,303,593,1.66,15,15,15,grey,dessicated,
,305,701,1.65,15,15,15,grey,dessicated,
,361,192,1.63,20,20,20,grey,dessicated,
,310,607,1.63,10,10,15,grey,dessicated,
,373,153,1.62,20,20,20,grey,dessicated,
,306,625,1.61,15,15,15,yellow,not dessicated,
,358,289,1.6,15,15,20,grey,dessicated,
,313,675,1.59,15,15,15,grey,dessicated,
,303,592,1.58,20,15,15,grey,dessicated,
,368,241,1.57,20,15,15,grey,dessicated,
,324,465,1.57,10,10,20,grey,dessicated,
,358,286,1.56,15,10,15,grey,dessicated,
,313,671,1.55,15,15,15,grey,dessicated,
,376,202,1.54,20,15,20,grey,dessicated,
,336,520,1.54,20,10,15,yellow brown,not dessicated,
,318,545,1.54,15,10,25,grey,dessicated,
,357,285,1.5,15,10,20,yellow green,not dessicated,
,313,676,1.5,15,15,15,grey,dessicated,
,368,239,1.48,10,10,15,grey,dessicated,
,313,672,1.48,10,10,15,grey,dessicated,
,332,442,1.47,15,15,20,grey,dessicated,
,335,534,1.47,15,15,15,grey,dessicated,
,311,576,1.47,15,15,15,grey,dessicated,
,305,707,1.47,15,15,15,grey,dessicated,
,305,706,1.44,15,15,15,grey,dessicated,
,316,631,1.43,15,15,15,grey,dessicated,
,358,291,1.42,15,10,15,grey,dessicated,
,358,295,1.41,15,10,15,grey,dessicated,
,361,189,1.4,20,15,20,grey,dessicated,
,344,381,1.4,10,10,20,grey,dessicated,
,361,194,1.36,15,15,15,grey,dessicated,
,357,277,1.36,20,10,20,grey,dessicated,
,311,577,1.36,15,15,15,grey,dessicated,
,321,458,1.35,15,15,25,grey,dessicated,
,319,511,1.35,15,15,15,grey,dessicated,
,355,407,1.34,15,15,25,grey,dessicated,
,305,708,1.33,15,15,15,grey,dessicated,
,361,195,1.31,15,15,15,grey,dessicated,
,311,578,1.3,15,15,15,grey,dessicated,
,344,386,1.29,20,10,20,grey,dessicated,
,304,669,1.29,15,15,15,grey,dessicated,
,386,38,1.28,15,10,25,green,not dessicated,may not be mature fruit
,359,299,1.28,15,15,15,grey,dessicated,
,344,382,1.28,10,10,20,grey,dessicated,
,394,60,1.25,10,10,15,yellow,not dessicated,
,319,518,1.25,15,15,15,grey,dessicated,
,356,314,1.21,15,15,20,grey,dessicated,
,310,608,1.18,10,10,20,grey,dessicated,
,386,37,1.17,10,10,25,green,not dessicated,may not be mature fruit
,359,305,1.17,10,10,10,grey,dessicated,
,351,328,1.17,20,15,15,grey,dessicated,cracked
,319,512,1.17,10,10,15,grey,dessicated,
,322,477,1.15,15,10,15,brown,not dessicated,
,371,167,1.14,15,15,15,grey,dessicated,
,357,276,1.12,15,10,20,grey,dessicated,
,350,339,1.09,15,10,20,grey,dessicated,
,371,160,1.08,15,15,15,grey,dessicated,
,310,610,1.06,10,10,15,grey,dessicated,
,305,705,1.05,10,10,10,grey,dessicated,
,359,303,1.03,15,15,15,grey,dessicated,
,344,387,1.03,10,10,20,grey,dessicated,
,334,548,1.03,15,10,20,grey,dessicated,
,361,193,0.98,10,10,10,grey,dessicated,
,310,606,0.98,15,15,15,grey,dessicated,cracked
,341,358,0.97,15,15,20,grey,dessicated,
,316,630,0.97,15,15,20,grey,dessicated,
,386,36,0.96,10,10,20,green,not dessicated,may not be mature fruit
,302,688,0.92,10,10,25,grey,dessicated,
,357,280,0.91,15,10,20,grey,dessicated,
,319,509,0.9,10,10,15,grey,dessicated,
,310,609,0.88,10,10,10,grey,dessicated,
,310,611,0.88,10,10,15,grey,dessicated,
,350,332,0.87,15,10,15,grey,dessicated,
,357,283,0.86,15,10,15,grey,dessicated,
,402,637,0.85,15,15,10,grey,dessicated,
,350,335,0.81,20,10,20,grey,dessicated,
,305,703,0.81,15,15,15,grey,dessicated,
,319,515,0.8,15,10,15,grey,dessicated,
,324,468,0.77,10,10,20,grey,dessicated,
,319,510,0.77,10,10,15,grey,dessicated,
,319,514,0.74,15,10,15,grey,dessicated,
,307,640,0.7,10,10,15,grey,dessicated,
,358,290,0.6,10,10,15,grey,dessicated,
,358,294,0.51,10,10,10,grey,dessicated,
