bird_id,date,walk,start_time,end_time,lat,lon,species,behavior,mesohabitat,mesohabitat.height,photo_id,time,distance,transect,transect_start_lat,transect_start_lon,transect_end_lat,transect_end_lon,notes
288,23-Aug,19,18:00,20:00,34.78291,-115.66248,Black-throated Sparrow,flying between plants,cactus,100,,18:01,1,1,,,,,
289,23-Aug,19,18:00,20:00,34.78291,-115.66248,Black-throated Sparrow,flying between plants,cactus,100,,18:01,1,1,,,,,
290,23-Aug,19,18:00,20:00,,,Phainopepla,calling,,,,18:39,2,1,,,,,
291,23-Aug,19,18:00,20:00,34.78115,-115.66287,Black-throated Sparrow,calling,yucca,100,,18:43,1,1,,,,,
292,23-Aug,19,18:00,20:00,34.78115,-115.66287,Black-throated Sparrow,calling,cactus,0,,18:43,1,1,,,,,
293,23-Aug,19,18:00,20:00,34.78115,-115.66287,Black-throated Sparrow,calling,cactus,0,,18:43,1,1,,,,,
294,23-Aug,19,18:00,20:00,,,Black-tailed Gnatcatcher,singing,,,,18:44,1,1,,,,,
295,23-Aug,19,18:00,20:00,,,Cactus Wren,calling,,,,18:53,3,1,,,,,
296,23-Aug,19,18:00,20:00,34.77933,-115.66255,Black-throated Sparrow,calling,cactus,100,,19:12,2,1,,,,,
297,24-Aug,20,7:00,9:00,,,Black-throated Sparrow,calling,,,,7:03,1,2,,,34.77856,-115.66449,
298,24-Aug,20,7:00,9:00,34.78264,-115.66254,Black-throated Sparrow,calling,shrub,25,,7:04,1,2,,,34.77856,-115.66449,
299,24-Aug,20,7:00,9:00,,,Cactus Wren,calling,,,,7:07,3,2,,,34.77856,-115.66449,
300,24-Aug,20,7:00,9:00,,,Cactus Wren,calling,,,,7:07,3,2,,,34.77856,-115.66449,
301,24-Aug,20,7:00,9:00,,,Black-throated Sparrow,calling,,,,7:08,2,2,,,34.77856,-115.66449,
302,24-Aug,20,7:00,9:00,,,Black-throated Sparrow,calling,,,,7:08,2,2,,,34.77856,-115.66449,
303,24-Aug,20,7:00,9:00,,,Black-tailed Gnatcatcher,calling,,,,7:09,3,2,,,34.77856,-115.66449,
304,24-Aug,20,7:00,9:00,,,Canyon Wren,singing,,,,7:25,3,2,,,34.77856,-115.66449,
305,24-Aug,20,7:00,9:00,,,Black-throated Sparrow,singing,,,,7:25,2,2,,,34.77856,-115.66449,
306,24-Aug,20,7:00,9:00,,,Black-throated Sparrow,singing,,,,7:25,2,2,,,34.77856,-115.66449,
307,24-Aug,20,7:00,9:00,,,Black-throated Sparrow,singing,,,,7:25,2,2,,,34.77856,-115.66449,
308,24-Aug,20,7:00,9:00,,,Black-throated Sparrow,singing,,,,7:25,2,2,,,34.77856,-115.66449,
309,24-Aug,20,7:00,9:00,34.78258,-115.66277,Black-throated Sparrow,singing,shrub,100,,7:26,1,2,,,34.77856,-115.66449,
310,24-Aug,20,7:00,9:00,,,Blue-gray Gnatcatcher,calling,,,,7:32,2,2,,,34.77856,-115.66449,
311,24-Aug,20,7:00,9:00,,,Cactus Wren,calling,,,,7:33,3,2,,,34.77856,-115.66449,
312,24-Aug,20,7:00,9:00,,,Gambel's Quail,singing,,,,7:42,3,2,,,34.77856,-115.66449,
313,24-Aug,20,7:00,9:00,,,Nuttall's Woodpecker,calling,,,,7:42,3,2,,,34.77856,-115.66449,
314,24-Aug,20,7:00,9:00,34.78095,-115.66264,Black-throated Sparrow,sitting on plant,yucca,100,,8:24,1,2,,,34.77856,-115.66449,
315,24-Aug,20,7:00,9:00,34.78095,-115.66264,Black-throated Sparrow,sitting on plant,yucca,100,,8:24,1,2,,,34.77856,-115.66449,
316,24-Aug,20,7:00,9:00,34.77092,-115.66204,Black-throated Sparrow,sitting on plant,shrub,75,,8:33,1,2,,,34.77856,-115.66449,
317,24-Aug,20,7:00,9:00,34.77092,-115.66204,Black-throated Sparrow,sitting on plant,shrub,75,,8:33,1,2,,,34.77856,-115.66449,
318,24-Aug,21,17:00,19:00,,,Black-throated Sparrow,calling,,,,17:40,3,2,,,34.77856,-115.66449,
319,24-Aug,21,17:00,19:00,,,Black-throated Sparrow,calling,,,,17:51,2,2,,,34.77856,-115.66449,rabbit foraging with them
320,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,male
321,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
322,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
323,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
324,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
325,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
326,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
327,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
328,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
329,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
330,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
331,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
332,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
333,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
334,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
335,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
336,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
337,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
338,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
339,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
340,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,foraging,gravel,,341-409,17:55,1,2,,,34.77856,-115.66449,
341,24-Aug,21,17:00,19:00,34.78238,-115.66357,Gambel's Quail,calling,shrub,50,,17:55,1,2,,,34.77856,-115.66449,
342,24-Aug,21,17:00,19:00,34.78249,-115.66357,Black-throated Sparrow,flying on plant,shrub,25,,18:01,1,2,,,34.77856,-115.66449,
343,24-Aug,21,17:00,19:00,,,Canyon Wren,singing,,,,18:35,3,2,,,34.77856,-115.66449,
344,24-Aug,21,17:00,19:00,,,Phainopepla,calling,,,,18:35,3,2,,,34.77856,-115.66449,
345,24-Aug,21,17:00,19:00,,,Cactus Wren,calling,,,,18:47,2,2,,,34.77856,-115.66449,
346,24-Aug,21,17:00,19:00,,,Black-throated Sparrow,calling,,,,18:47,3,2,,,34.77856,-115.66449,
347,24-Aug,21,17:00,19:00,34.78168,-115.66353,Black-tailed Gnatcatcher,flying on plant,shrub,50,,18:52,1,2,,,34.77856,-115.66449,
348,24-Aug,21,17:00,19:00,,,Canyon Wren,singing,,,,19:00,3,2,,,34.77856,-115.66449,
349,24-Aug,21,17:00,19:00,34.78083,-115.66483,Black-throated Sparrow,calling,shrub,100,410-414,19:04,1,2,,,34.77856,-115.66449,
350,24-Aug,21,17:00,19:00,34.78083,-115.66483,Black-throated Sparrow,calling,shrub,100,410-414,19:04,1,2,,,34.77856,-115.66449,
351,24-Aug,21,17:00,19:00,,,Cactus Wren,singing,,,,19:04,2,2,,,34.77856,-115.66449,
352,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,,,,
