"Plot Title: 20597565"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597565, SEN S/N: 20597565)","Intensity, lum/ft² (LGR S/N: 20597565, SEN S/N: 20597565)","Coupler Attached (LGR S/N: 20597565)","Host Connected (LGR S/N: 20597565)","Stopped (LGR S/N: 20597565)","End Of File (LGR S/N: 20597565)"
1,05/28/19 11:00:00 AM,87.004,4096.0,,,,
2,05/28/19 11:10:00 AM,85.735,4096.0,,,,
3,05/28/19 11:20:00 AM,85.915,3840.0,,,,
4,05/28/19 11:30:00 AM,87.368,3840.0,,,,
5,05/28/19 11:40:00 AM,84.295,3456.0,,,,
6,05/28/19 11:50:00 AM,83.935,3328.0,,,,
7,05/28/19 12:00:00 PM,81.621,3200.0,,,,
8,05/28/19 12:10:00 PM,82.330,3200.0,,,,
9,05/28/19 12:20:00 PM,82.330,3072.0,,,,
10,05/28/19 12:30:00 PM,83.935,3072.0,,,,
11,05/28/19 12:40:00 PM,84.474,3072.0,,,,
12,05/28/19 12:50:00 PM,85.194,3072.0,,,,
13,05/28/19 01:00:00 PM,87.004,3072.0,,,,
14,05/28/19 01:10:00 PM,85.915,3072.0,,,,
15,05/28/19 01:20:00 PM,85.374,3072.0,,,,
16,05/28/19 01:30:00 PM,87.004,3072.0,,,,
17,05/28/19 01:40:00 PM,89.384,3072.0,,,,
18,05/28/19 01:50:00 PM,86.459,3072.0,,,,
19,05/28/19 02:00:00 PM,87.186,3072.0,,,,
20,05/28/19 02:10:00 PM,85.735,3072.0,,,,
21,05/28/19 02:20:00 PM,85.374,2944.0,,,,
22,05/28/19 02:30:00 PM,85.735,2816.0,,,,
23,05/28/19 02:40:00 PM,85.374,2688.0,,,,
24,05/28/19 02:50:00 PM,83.579,2688.0,,,,
25,05/28/19 03:00:00 PM,82.152,2688.0,,,,
26,05/28/19 03:10:00 PM,81.975,2560.0,,,,
27,05/28/19 03:20:00 PM,82.864,2560.0,,,,
28,05/28/19 03:30:00 PM,83.221,2432.0,,,,
29,05/28/19 03:40:00 PM,83.579,2432.0,,,,
30,05/28/19 03:50:00 PM,84.474,2432.0,,,,
31,05/28/19 04:00:00 PM,85.014,2432.0,,,,
32,05/28/19 04:10:00 PM,86.277,2432.0,,,,
33,05/28/19 04:20:00 PM,84.115,2304.0,,,,
34,05/28/19 04:30:00 PM,83.221,2176.0,,,,
35,05/28/19 04:40:00 PM,82.686,2304.0,,,,
36,05/28/19 04:50:00 PM,83.935,2432.0,,,,
37,05/28/19 05:00:00 PM,84.654,2688.0,,,,
38,05/28/19 05:10:00 PM,87.368,3072.0,,,,
39,05/28/19 05:20:00 PM,87.552,3200.0,,,,
40,05/28/19 05:30:00 PM,87.368,2816.0,,,,
41,05/28/19 05:40:00 PM,84.654,2048.0,,,,
42,05/28/19 05:50:00 PM,83.221,1600.0,,,,
43,05/28/19 06:00:00 PM,86.097,1728.0,,,,
44,05/28/19 06:10:00 PM,86.641,1472.0,,,,
45,05/28/19 06:20:00 PM,70.651,256.0,,,,
46,05/28/19 06:30:00 PM,67.392,208.0,,,,
47,05/28/19 06:40:00 PM,66.537,200.0,,,,
48,05/28/19 06:50:00 PM,65.851,168.0,,,,
49,05/28/19 07:00:00 PM,65.851,168.0,,,,
50,05/28/19 07:10:00 PM,65.680,160.0,,,,
51,05/28/19 07:20:00 PM,65.338,176.0,,,,
52,05/28/19 07:30:00 PM,65.509,192.0,,,,
53,05/28/19 07:40:00 PM,64.996,122.0,,,,
54,05/28/19 07:50:00 PM,63.968,70.0,,,,
55,05/28/19 08:00:00 PM,63.282,11.0,,,,
56,05/28/19 08:10:00 PM,62.940,0.0,,,,
57,05/28/19 08:20:00 PM,62.425,0.0,,,,
58,05/28/19 08:30:00 PM,61.398,0.0,,,,
59,05/28/19 08:40:00 PM,60.539,0.0,,,,
60,05/28/19 08:50:00 PM,59.508,0.0,,,,
61,05/28/19 09:00:00 PM,59.680,0.0,,,,
62,05/28/19 09:10:00 PM,58.131,0.0,,,,
63,05/28/19 09:20:00 PM,56.230,0.0,,,,
64,05/28/19 09:30:00 PM,55.884,0.0,,,,
65,05/28/19 09:40:00 PM,55.884,0.0,,,,
66,05/28/19 09:50:00 PM,56.404,0.0,,,,
67,05/28/19 10:00:00 PM,56.923,0.0,,,,
68,05/28/19 10:10:00 PM,57.268,0.0,,,,
69,05/28/19 10:20:00 PM,58.131,0.0,,,,
70,05/28/19 10:30:00 PM,59.164,0.0,,,,
71,05/28/19 10:40:00 PM,59.680,0.0,,,,
72,05/28/19 10:50:00 PM,58.820,0.0,,,,
73,05/28/19 11:00:00 PM,58.993,0.0,,,,
74,05/28/19 11:10:00 PM,57.614,0.0,,,,
75,05/28/19 11:20:00 PM,57.614,0.0,,,,
76,05/28/19 11:30:00 PM,56.404,0.0,,,,
77,05/28/19 11:40:00 PM,55.537,0.0,,,,
78,05/28/19 11:50:00 PM,56.923,0.0,,,,
79,05/29/19 12:00:00 AM,56.750,0.0,,,,
80,05/29/19 12:10:00 AM,54.669,0.0,,,,
81,05/29/19 12:20:00 AM,57.268,0.0,,,,
82,05/29/19 12:30:00 AM,56.404,0.0,,,,
83,05/29/19 12:40:00 AM,54.842,0.0,,,,
84,05/29/19 12:50:00 AM,53.973,0.0,,,,
85,05/29/19 01:00:00 AM,53.100,0.0,,,,
86,05/29/19 01:10:00 AM,52.401,0.0,,,,
87,05/29/19 01:20:00 AM,52.401,0.0,,,,
88,05/29/19 01:30:00 AM,54.669,0.0,,,,
89,05/29/19 01:40:00 AM,56.057,0.0,,,,
90,05/29/19 01:50:00 AM,56.577,0.0,,,,
91,05/29/19 02:00:00 AM,56.057,0.0,,,,
92,05/29/19 02:10:00 AM,55.711,0.0,,,,
93,05/29/19 02:20:00 AM,52.925,0.0,,,,
94,05/29/19 02:30:00 AM,54.495,0.0,,,,
95,05/29/19 02:40:00 AM,55.189,0.0,,,,
96,05/29/19 02:50:00 AM,55.537,0.0,,,,
97,05/29/19 03:00:00 AM,56.057,0.0,,,,
98,05/29/19 03:10:00 AM,56.057,0.0,,,,
99,05/29/19 03:20:00 AM,55.884,0.0,,,,
100,05/29/19 03:30:00 AM,56.057,0.0,,,,
101,05/29/19 03:40:00 AM,56.057,0.0,,,,
102,05/29/19 03:50:00 AM,56.404,0.0,,,,
103,05/29/19 04:00:00 AM,56.577,0.0,,,,
104,05/29/19 04:10:00 AM,56.750,0.0,,,,
105,05/29/19 04:20:00 AM,56.577,0.0,,,,
106,05/29/19 04:30:00 AM,56.750,0.0,,,,
107,05/29/19 04:40:00 AM,56.577,0.0,,,,
108,05/29/19 04:50:00 AM,56.750,0.0,,,,
109,05/29/19 05:00:00 AM,56.923,0.0,,,,
110,05/29/19 05:10:00 AM,56.750,0.0,,,,
111,05/29/19 05:20:00 AM,56.750,8.0,,,,
112,05/29/19 05:30:00 AM,56.923,53.0,,,,
113,05/29/19 05:40:00 AM,57.096,107.0,,,,
114,05/29/19 05:50:00 AM,57.614,160.0,,,,
115,05/29/19 06:00:00 AM,57.268,232.0,,,,
116,05/29/19 06:10:00 AM,57.441,272.0,,,,
117,05/29/19 06:20:00 AM,57.268,384.0,,,,
