tag,weight,fruit_x,fruit_y,fruit_z,color,condition
321,3.37,20,20,20,grey,dessicated
321,3.12,20,20,20,grey,dessicated
321,3.03,20,20,25,grey,dessicated
321,2.76,20,20,25,grey,dessicated
321,2.59,15,15,20,grey,dessicated
321,2.52,15,15,20,grey,dessicated
321,2.4,15,15,20,grey,dessicated
321,1.35,15,15,25,grey,dessicated
321,6.49,20,20,25,brown,ripe
322,2.39,20,15,20,grey,dessicated
322,4.89,20,15,20,brown,ripe
322,4.66,20,20,25,brown,ripe
322,4.54,20,20,20,brown,ripe
322,4.31,25,20,25,brown,ripe
322,3.74,20,20,20,brown,ripe
322,3.4,20,20,20,brown,ripe
322,3.4,20,20,20,brown,ripe
322,2.14,20,15,15,brown,ripe
322,1.15,15,10,15,brown,ripe
323,2.89,20,20,20,grey,dessicated
323,2.85,15,15,20,grey,dessicated
323,2.73,20,20,15,grey,dessicated
323,2.71,20,20,20,grey,dessicated
323,2.44,20,20,20,grey,dessicated
323,2.39,15,15,20,grey,dessicated
323,2.26,15,15,20,grey,dessicated
323,2.25,20,20,20,grey,dessicated
323,2.11,20,20,20,grey,dessicated
323,2.06,15,15,20,grey,dessicated
324,4.81,20,20,35,grey,dessicated
324,3.59,20,20,20,grey,dessicated
324,3.5,15,15,25,grey,dessicated
324,3.27,15,15,25,grey,dessicated
324,3.23,15,15,25,grey,dessicated
324,2.95,15,15,20,grey,dessicated
324,2.39,15,15,25,grey,dessicated
324,1.71,15,15,25,grey,dessicated
324,1.57,10,10,20,grey,dessicated
324,0.77,10,10,20,grey,dessicated
326,6.96,20,20,20,grey,dessicated
326,6.27,20,20,25,grey,dessicated
326,4.87,20,20,25,grey,dessicated
326,4.81,25,20,25,grey,dessicated
326,4.71,20,20,20,grey,dessicated
326,3.98,20,20,20,grey,dessicated
326,3.91,20,20,20,grey,dessicated
326,3.6,20,15,25,grey,dessicated
326,3.38,15,15,20,grey,dessicated
326,3.09,15,15,20,grey,dessicated
326,2.86,15,15,15,grey,dessicated
326,2.63,20,20,20,grey,dessicated
326,2.46,15,15,20,grey,dessicated
326,2.41,20,20,20,grey,dessicated
326,2.31,20,20,15,grey,dessicated
326,2.15,20,20,20,grey,dessicated
326,2.14,15,15,20,grey,dessicated
326,2.07,20,20,20,grey,dessicated
326,1.77,15,15,15,grey,dessicated
326,1.73,15,15,15,grey,dessicated
332,4.05,20,20,20,grey,dessicated
332,3.99,20,20,25,grey,dessicated
332,3.72,20,20,20,grey,dessicated
332,3.46,15,15,20,grey,dessicated
332,3.23,20,20,20,grey,dessicated
332,3.17,20,20,20,grey,dessicated
332,3.15,15,15,20,grey,dessicated
332,3.04,15,15,20,grey,dessicated
332,3.03,20,20,20,grey,dessicated
332,1.47,15,15,20,grey,dessicated
333,4.39,20,20,25,black,dessicated
333,3.52,20,15,20,grey,dessicated
333,3.28,20,15,20,grey,dessicated
333,2.94,20,20,25,grey,dessicated
333,2.77,15,15,20,grey,dessicated
