cactus.id,tag,fruit.id,fruit.weight,fruit.x,fruit.y,fruit.z,color,seeds
,371,162,2.15,20,20,20,grey,
,371,163,1.72,15,10,20,grey,
,371,164,2.55,20,20,20,grey,
,371,165,1.83,15,15,20,grey,
,371,166,1.69,15,15,25,grey,
,371,167,1.14,15,15,15,grey,
,371,168,2.01,15,15,20,grey,
,372,169,2.87,20,20,20,grey,
,372,170,2.94,20,20,25,grey,
,372,171,2.77,20,20,20,grey,
,372,172,2.84,20,20,20,grey,
,372,173,2.65,20,20,25,grey,
,372,174,2.31,20,20,25,grey,
,372,175,2.24,20,20,25,grey,
,372,176,3.15,20,20,25,grey,
,372,177,2.86,20,20,30,grey,
,372,178,2.97,20,20,20,grey,
,370,179,4.69,20,20,25,grey,
,370,180,3.05,20,20,20,grey,
,370,181,4.22,20,20,20,grey,
,370,182,2.99,20,20,20,grey,
,370,183,3.53,20,20,25,grey,
,370,184,3.28,20,20,20,grey,
,370,185,3.72,20,20,25,grey,
,370,186,2.88,20,20,25,grey,
,370,187,3.83,20,20,25,grey,
,370,188,3.51,20,20,20,grey,
,361,189,1.4,20,15,20,grey,
,361,190,3.26,20,20,20,black,
,361,191,5.51,25,20,25,grey,
,361,192,1.63,20,20,20,grey,
,361,193,0.98,10,10,10,grey,
,361,194,1.36,15,15,15,grey,
,361,195,1.31,15,15,15,grey,
,376,196,3.15,20,20,15,grey,
,376,197,2.42,15,15,20,grey,
,376,198,2.44,15,15,20,grey,
,376,199,3,20,20,20,grey,
,376,200,2.97,20,15,20,grey,
,376,201,3.94,20,20,20,grey,
,376,202,1.54,20,15,20,grey,
,376,203,3.06,20,20,20,grey,
,376,204,4.57,20,20,20,grey,
,376,205,2.99,20,20,20,grey,
,374,206,3.18,20,15,25,grey,
,374,207,3.27,20,20,20,grey,
,374,208,3.3,20,20,25,grey,
,374,209,2.86,20,20,20,grey,
,374,210,3.57,20,15,20,grey,
,374,211,2.7,20,15,20,grey,
,374,212,2.74,20,20,25,grey,
,374,213,2.72,20,15,20,grey,
,374,214,2.46,15,15,20,grey,
,374,215,2.42,15,15,20,grey,
,363,216,2.51,20,15,20,grey,
,363,217,2.92,20,20,25,grey,
,363,218,3.92,20,20,20,grey,
,363,219,2.83,25,20,15,grey,
,363,220,4.76,20,20,30,yellow green,
,363,221,3.01,20,15,20,grey,
,363,222,3.41,20,20,25,grey,
,363,223,2.91,20,20,25,grey,
,363,224,3.25,20,20,20,grey,
,363,225,2.34,20,20,20,grey,
,364,226,4.85,25,20,30,grey,
,364,227,4.76,25,20,30,grey,
,364,228,5.42,25,25,25,grey,
,364,229,4.1,20,15,25,grey,
,364,230,5.37,20,20,25,grey,
,364,231,5.71,25,20,30,grey,
,364,232,6.95,20,20,25,grey,
,364,233,6.95,25,20,25,grey green,
,364,234,4.53,20,20,25,grey,
,364,235,3.85,20,20,20,grey,
,368,236,2.03,20,20,20,grey,
,368,237,3.52,20,20,20,grey,
,368,238,2.16,15,15,15,grey,
,368,239,1.48,10,10,15,grey,
,368,240,1.99,20,15,15,grey,
,368,241,1.57,20,15,15,grey,
,368,242,1.79,15,10,15,grey,
,368,243,1.93,15,15,15,grey,
,368,244,3.61,20,20,20,grey,
,368,245,1.84,15,10,15,grey,
,367,246,1.76,15,15,10,grey,
,366,247,3.16,20,15,20,grey,
,366,248,3.17,20,15,20,grey,
,366,249,3.03,15,15,20,grey,
,366,250,3.56,20,20,20,grey,
,366,251,2.4,20,15,20,grey,
,366,252,3.72,20,20,20,grey,
,366,253,3.11,20,20,20,grey,
,366,254,3.78,20,20,20,grey,
,366,255,2.63,20,15,15,grey,
,365,256,3.23,20,20,20,grey,
,365,257,4.18,20,15,25,grey,
,365,258,7.7,20,20,25,brown,
,365,259,3.55,20,15,25,grey,
,365,260,7.27,20,20,25,yellow,
,365,261,5.67,20,20,25,yellow,
,365,262,6.41,15,15,30,brown,
,365,263,7.01,15,15,30,yellow,
,365,264,6.26,20,20,25,yellow,
,365,265,7.77,20,15,30,yellow brown,
,369,266,6.56,20,20,25,brown,
,369,267,5.79,20,20,25,yellow,
,369,268,7,20,20,25,yellow,
,369,269,3.13,15,15,20,grey,
,369,270,4.29,20,20,20,yellow,
,369,271,6.6,20,20,25,yellow,
,369,272,5.03,20,20,30,yellow brown,
,369,273,6.26,25,20,25,yellow brown,
,369,274,4.1,20,20,25,yellow,
,369,275,5.15,20,20,25,yellow,
,357,276,1.12,15,10,20,grey,
,357,277,1.36,20,10,20,grey,
,357,278,3.74,20,20,20,grey,cracked
,357,279,1.94,15,10,20,green,
,357,280,0.91,15,10,20,grey,
,357,281,1.93,20,10,20,yellow green,
,357,282,2,20,10,20,yellow green,
,357,283,0.86,15,10,15,grey,
,357,284,1.77,15,10,20,yellow green,
,357,285,1.5,15,10,20,yellow green,
,358,286,1.56,15,10,15,grey,
,358,287,2.03,15,15,20,grey,
,358,288,1.74,15,15,15,grey,
,358,289,1.6,15,15,20,grey,
,358,290,0.6,10,10,15,grey,
,358,291,1.42,15,10,15,grey,
,358,292,2.01,20,15,20,grey,
,358,293,1.89,15,15,15,grey,
,358,294,0.51,10,10,10,grey,
,358,295,1.41,15,10,15,grey,
,359,296,2.47,20,20,20,grey,
,359,297,2.35,20,20,20,grey,
,359,298,2.41,20,20,15,grey,cracked
,359,299,1.28,15,15,15,grey,
,359,300,2.31,20,20,15,grey,
,359,301,2.33,20,20,20,grey,
,359,302,2.76,20,20,20,grey,
,359,303,1.03,15,15,15,grey,
,359,304,2.04,20,20,20,grey,
,359,305,1.17,10,10,10,grey,
,356,306,14.49,25,25,40,brown,
,356,307,5.31,20,20,25,grey,
,356,308,5.56,25,25,30,grey,
,356,309,9.47,20,20,30,brown,
,356,310,5.91,25,20,30,grey,
,356,311,7.16,20,20,25,grey,
,356,312,9.42,25,20,25,brown,
,356,313,5.12,20,20,25,grey,
,356,314,1.21,15,15,20,grey,
,356,315,5.54,20,20,25,grey,
,354,316,2.69,20,20,20,grey,
,354,317,2.47,20,15,20,grey,
,354,318,3,20,15,15,grey,
,354,319,2.63,15,15,15,grey,
,354,320,2.69,15,15,20,grey,
,354,321,2.46,15,10,15,grey,
,354,322,1.91,15,10,15,grey,
,354,323,2.66,15,15,20,grey,
,354,324,2.58,20,15,20,grey,
,354,325,2.48,15,15,20,grey,
,346,326,4.62,20,20,25,grey,
,346,327,4.35,20,20,25,grey,
,351,328,1.17,20,15,15,grey,cracked
,351,329,1.75,20,20,20,grey,cracked
,350,330,3.21,15,15,20,grey,
,350,331,2.5,15,15,20,grey,
,350,332,0.87,15,10,15,grey,
,350,333,2.16,15,10,15,grey,
,350,334,2.93,20,15,20,grey,
,350,335,0.81,20,10,20,grey,
,350,336,1.97,15,15,10,grey,
,350,337,2.5,20,20,15,grey,
,350,338,3.9,15,10,20,grey,
,350,339,1.09,15,10,20,grey,
,338,340,4.67,20,20,30,grey,
,338,341,2.89,20,15,20,grey,
,338,342,3.98,20,20,25,grey,
,338,343,5.15,20,20,30,grey,
,338,344,3.45,20,15,20,grey,
,338,345,2.45,20,15,20,grey,
,338,346,2.52,20,20,25,grey,
,338,347,3.22,20,15,25,grey,
,338,348,2.96,25,15,25,grey,
,338,349,3.67,20,20,25,grey,
,341,350,3.63,20,20,20,grey,
,341,351,2.97,15,15,30,grey,
,341,352,3.73,20,15,30,grey,
