"Plot Title: 20597550"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597550, SEN S/N: 20597550)","Intensity, lum/ft² (LGR S/N: 20597550, SEN S/N: 20597550)","Coupler Attached (LGR S/N: 20597550)","Host Connected (LGR S/N: 20597550)","Coupler Detached (LGR S/N: 20597550)","Stopped (LGR S/N: 20597550)","End Of File (LGR S/N: 20597550)"
100,05/16/19 01:30:00 AM,52.401,0.0,,,,,
101,05/16/19 01:40:00 AM,52.750,0.0,,,,,
102,05/16/19 01:50:00 AM,55.189,0.0,,,,,
103,05/16/19 02:00:00 AM,57.268,0.0,,,,,
104,05/16/19 02:10:00 AM,58.303,0.0,,,,,
105,05/16/19 02:20:00 AM,58.476,0.0,,,,,
106,05/16/19 02:30:00 AM,57.441,0.0,,,,,
107,05/16/19 02:40:00 AM,56.750,0.0,,,,,
108,05/16/19 02:50:00 AM,57.268,0.0,,,,,
109,05/16/19 03:00:00 AM,56.750,0.0,,,,,
110,05/16/19 03:10:00 AM,56.923,0.0,,,,,
111,05/16/19 03:20:00 AM,57.785,0.0,,,,,
112,05/16/19 03:30:00 AM,57.614,0.0,,,,,
113,05/16/19 03:40:00 AM,56.577,0.0,,,,,
114,05/16/19 03:50:00 AM,56.057,0.0,,,,,
115,05/16/19 04:00:00 AM,56.404,0.0,,,,,
116,05/16/19 04:10:00 AM,56.404,0.0,,,,,
117,05/16/19 04:20:00 AM,56.230,0.0,,,,,
118,05/16/19 04:30:00 AM,54.669,0.0,,,,,
119,05/16/19 04:40:00 AM,53.449,0.0,,,,,
120,05/16/19 04:50:00 AM,53.449,0.0,,,,,
121,05/16/19 05:00:00 AM,52.750,0.0,,,,,
122,05/16/19 05:10:00 AM,52.576,0.0,,,,,
123,05/16/19 05:20:00 AM,52.050,0.0,,,,,
124,05/16/19 05:30:00 AM,51.699,0.0,,,,,
125,05/16/19 05:40:00 AM,51.346,1.0,,,,,
126,05/16/19 05:50:00 AM,50.995,6.0,,,,,
127,05/16/19 06:00:00 AM,51.699,20.0,,,,,
128,05/16/19 06:10:00 AM,52.576,28.0,,,,,
129,05/16/19 06:20:00 AM,53.973,35.0,,,,,
130,05/16/19 06:30:00 AM,55.364,38.0,,,,,
131,05/16/19 06:40:00 AM,56.404,50.0,,,,,
132,05/16/19 06:50:00 AM,57.614,63.0,,,,,
133,05/16/19 07:00:00 AM,58.476,78.0,,,,,
134,05/16/19 07:10:00 AM,59.680,78.0,,,,,
135,05/16/19 07:20:00 AM,60.539,92.0,,,,,
136,05/16/19 07:30:00 AM,61.912,144.0,,,,,
137,05/16/19 07:40:00 AM,64.481,192.0,,,,,
138,05/16/19 07:50:00 AM,68.248,160.0,,,,,
139,05/16/19 08:00:00 AM,68.934,184.0,,,,,
140,05/16/19 08:10:00 AM,71.512,352.0,,,,,
141,05/16/19 08:20:00 AM,76.876,432.0,,,,,
142,05/16/19 08:30:00 AM,79.853,416.0,,,,,
143,05/16/19 08:40:00 AM,80.559,336.0,,,,,
144,05/16/19 08:50:00 AM,79.326,336.0,,,,,
145,05/16/19 09:00:00 AM,79.326,384.0,,,,,
146,05/16/19 09:10:00 AM,80.559,448.0,,,,,
147,05/16/19 09:20:00 AM,86.459,800.0,,,,,
148,05/16/19 09:30:00 AM,93.682,896.0,,,,,
149,05/16/19 09:40:00 AM,97.720,1088.0,,,,,
150,05/16/19 09:50:00 AM,101.685,1280.0,,,,,
151,05/16/19 10:00:00 AM,105.994,1344.0,,,,,
152,05/16/19 10:10:00 AM,114.265,1472.0,,,,,
153,05/16/19 10:20:00 AM,117.732,1408.0,,,,,
154,05/16/19 10:30:00 AM,124.585,1472.0,,,,,
155,05/16/19 10:40:00 AM,123.321,1472.0,,,,,
156,05/16/19 10:50:00 AM,127.171,1344.0,,,,,
157,05/16/19 11:00:00 AM,123.071,896.0,,,,,
158,05/16/19 11:10:00 AM,106.414,464.0,,,,,
159,05/16/19 11:20:00 AM,100.283,480.0,,,,,
160,05/16/19 11:30:00 AM,98.897,512.0,,,,,
161,05/16/19 11:40:00 AM,104.747,336.0,,,,,
162,05/16/19 11:50:00 AM,95.207,336.0,,,,,
